Brand Name,Class / Type,Alcohol Content,Net Contents,Country of Origin,Imported Product,Bottler Name,Bottler Location,File Name
Black Hollow,Straight Bourbon Whiskey,46% Alc./Vol.,750 mL,,No,Black Hollow Distilling Co.,"Bardstown, KY",blackHollowLabel
Greenmeadow,Gin,47% Alc./Vol.,750 mL,,No,Greenmeadow Distilling Co.,"Portland, OR",greenmeadowLabel
Pine Ridge Distilling Co.,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,No,Pine Ridge Distilling Co.,"Bardstown, KY",pineRidgeLabel
Glacier Peak,Vodka,40% Alc./Vol.,750 mL,,No,Glacier Peak Spirits LLC,"Lewiston, ID",glacierPeakSpiritsLabel
Island Escape,Pineapple Rum Punch,7.0% Alc./Vol.,355 mL,,No,Island Escape Spirits Co.,"San Diego, CA",islandEscapeLabel
Elevate,Gin,42% Alc./Vol.,750 mL,,No,Elevate Spirits LLC,"Denver, Colorado",elevateLabel
North Coast,Vodka,40% Alc./Vol.,750 mL,,No,North Coast Spirits LLC,"Seattle, WA",northCoastLabel
Sunset Vibes,Hard Seltzer,10% Alc. by Vol.,355 mL,,No,Sunset Vibes Beverage CO.,"Miami, FL",sunsetVibesLabel
Highland Legacy,Bourbon Whiskey,45% Alc./Vol.,750 mL,,No,HIGHLAND LEGACY DISTILLING CO.,"Bardstown, KY",highlandLegacyLabel
Bella Vista,Toscana Rosso,13.5% Alc./Vol.,750 mL,Italy,Yes,Vino Imports USA,"Napa, CA",bellaVistaLabel
Sierra Verde,Tequila Blanco,40% Alc./Vol.,750 mL,Mexico,Yes,Sierra Verde Spirits LLC,"Dallas, TX",sierraVerdeLabel
Soléterra,Toscana Rosso,13.5% Alc. by Vol.,750 mL,Italy,Yes,Soleterra imports,"Miami, FL",soleterraLabel
Vivere Grande,Toscana IGT,13.5% Alc. by Vol.,750 mL,Italy,Yes,Vivere Imports LLC,"Miami, FL",vivereGrandeLabel
Château La Roche,Bordeaux,13.5% Alc. by Vol.,750 mL,France,Yes,Château La Roche,"Blaye, France",chateauLaRocheLabel
Highland Mist,Blended Scotch Whisky,40% Alc./Vol.,750 mL,Scotland,Yes,Summit Spirits USA Inc.,"Deerfield, IL",highlandMistLabel
